G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,M0,M1,M2,M3
2025-08-11,,,,,,,,,,,0,0,,0
2025-08-11,Estação Coletora de Gavião Real,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Santo Antônio dos Lopes,,GAVIÃO REAL,,,,,971.1761992324092,28,6108.5040579320066
2025-08-11,Estação Coletora de Pilar,Origem Alagoas,Estação / Ponto de Coleta de Petróleo,AL,Pilar,,,,,,,590.39934000000017,33,3713.4937687320007
2025-08-11,Estação de Produção e Escoamento de Gavião Branco,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Lima Campos,,GAVIÃO BRANCO,,,,,4180.0332317839375,13,26291.573021274609
2025-08-11,Estação Produtora de Gavião Preto,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Bernardo do Mearim,,GAVIÃO PRETO,,,,,2839.6964889836531,12,17861.12297640938
2025-08-11,FPSO ALEXANDRE DE GUSMÃO,Petrobras,FPSO,,,"MERO(27/07/2025), AnC_MERO(27/07/2025)",,,FPADG,ATIVO,25306.241549888444,1641.2902,50,35629.628649848441
2025-08-11,FPSO Almirante Barroso,Petrobras,FPSO,,,BÚZIOS(13/01/2023),,,FPBAR,ATIVO,151413.39247459819,5841.39738,50,188154.61371532222
2025-08-11,FPSO Almirante Tamandaré,Petrobras,FPSO,,,"BÚZIOS(01/07/2024), TAMBUATÁ(31/12/2024), BÚZIOS_ECO(31/12/2024)",,,FPTAM,ATIVO,172566.46010248034,6919.82596,57,216090.78142568836
2025-08-11,FPSO ANITA GARIBALDI,Petrobras,FPSO,,,MARLIM(23/06/2023),,,FPAGA,ATIVO,35980.313604034796,774.30324999999993,71,40850.526185884795
2025-08-11,FPSO ANNA NERY,Petrobras,FPSO,,,MARLIM(29/10/2022),,,FPANE,ATIVO,40465.505488425588,710.6568,67,44935.39462906558
