scrape_datetime,date,installation,oil_production,gas_production,oil_equivalents_boe,operator,type,estado,city,atendimento_campo,campo,quantity,code,status
2025-08-11T17:12:37.429Z,,,3252,29571558.951046582,821917501.867553,,,,,,,,,
2025-08-11T17:12:37.429Z,2025-08-05,,32341.08178514925,775.8591232341527,37221.08049846742,,,,,,,,,
2025-08-11T17:12:37.429Z,2025-08-05,Estação Coletora de Gavião Real,1478.9021404569307,,9301.998683046002,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Santo Antônio dos Lopes,"MERO(27/07/2025), AnC_MERO(27/07/2025)",GAVIÃO REAL,28,,FPADG
2025-08-11T17:12:37.429Z,2025-08-05,Estação Coletora de Pilar,605.6582900000001,,3809.4695124420005,Origem Alagoas,Estação / Ponto de Coleta de Petróleo,AL,Pilar,BÚZIOS(13/01/2023),,33,,FPBAR
2025-08-11T17:12:37.429Z,2025-08-05,Estação de Produção e Escoamento de Gavião Branco,3339.6363561679264,,21005.644753025023,Petrobras,FPSO,AM,Lima Campos,"BÚZIOS(01/07/2024), TAMBUATÁ(31/12/2024), BÚZIOS_ECO(31/12/2024)",GAVIÃO BRANCO,13,,FPTAM
2025-08-11T17:12:37.429Z,2025-08-05,Estação Produtora de Gavião Preto,3338.889253375141,,21000.94562587896,Enauta Energia,FIXA,ES,Bernardo do Mearim,MARLIM(23/06/2023),GAVIÃO PRETO,12,,FPAGA
2025-08-11T17:12:37.429Z,2025-08-05,FPSO ALEXANDRE DE GUSMÃO,2924.6286999999998,43763.22182071577,62158.55141797577,TotalEnergies EP,SEMI SUBMERSÍVEL,,Coari,MARLIM(29/10/2022),CACIMBAS,50,,FPANE
2025-08-11T17:12:37.429Z,2025-08-05,FPSO Almirante Barroso,5848.654820000001,151071.3163218505,187858.1854086865,Karoon Brasil,FPU,,Linhares,ATLANTA(29/10/2024),AZULÃO,,,FPSOATLANTA
2025-08-11T17:12:37.429Z,2025-08-05,FPSO Almirante Tamandaré,7389.98641,186434.92889774905,232916.46541936707,BW Maromba,TLWP,,Silves,SÉPIA(02/01/2021),,57,,FPCRC
2025-08-11T17:12:37.429Z,2025-08-05,FPSO ANITA GARIBALDI,620.79357,28570.994529897598,32475.661926483597,Shell Brasil,,,,"JUBARTE(31/08/2012), BALEIA AZUL(31/08/2012), PIRAMBU(31/08/2012)",,71,,FCDA
2025-08-11T17:12:37.429Z,2025-08-05,FPSO ANNA NERY,712.8924999999999,39834.308482364875,44318.259728864876,Petro Rio Jaguar,,,,TUPI(26/04/2009),,67,,FPCAR
2025-08-11T17:12:37.429Z,2025-08-05,FPSO ATLANTA,352.23269999999997,42425.824823725205,44641.298060185196,Prio Bravo,,,,TARTARUGA VERDE(31/12/2017),,15,,FPCGZ
2025-08-11T17:12:37.429Z,2025-08-05,FPSO Carioca (MV-30),6030.837219999999,158607.57667434652,196540.33662070252,Equinor Brasil,,,,LAPA(30/08/2016),,10,,FPCCG
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE ANCHIETA,854.8080000000001,18999.657757687197,24376.2291160872,3R Petroleum Off,,,,SAPINHOÁ(10/11/2014),,11,,FPCIB
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE ANGRA DOS REIS,,,,Trident Energy,,,,TUPI(31/07/2015),,12,,FPCIG
2025-08-11T17:12:37.429Z,2025-08-05,FPSO Cidade de Campos dos Goytacazes,693.5590299999999,66780.10992203759,71142.4575089316,Perenco Brasil,,,,"BAÚNA(25/01/2013), PIRACABA(25/01/2013)",,13,,FPCI
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE CARAGUATATUBA,1615.9442800000002,43645.5390784248,53809.5054107688,,,,,TUPI(14/10/2014),,14,,FPCMB
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE ILHA BELA,3080.05044,63870.87060083401,83243.771858346,,,,,TUPI(28/01/2016),,15,,FPCMC
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE ITAGUAÍ,6663.9398,105876.26984544717,147791.1183994872,,,,,MARLIM LESTE(12/01/2008),,16,,FPNT
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE ITAJAÍ,386.11590999999993,26152.4506598388,28581.042510556803,,,,,TUPI(28/05/2013),,17,,FPCP
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE MANGARATIBA,5658.39065,98435.69977421401,134025.84528458398,,,,,"URUGUÁ(14/07/2010), TAMBAÚ(13/11/2014)",,18,,FPCST
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE MARICÁ,5278.87018,125583.40082258513,158786.43848074912,,,,,SAPINHOÁ(01/12/2012),,19,,FPCSP
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE NITEROI,,,,,,,,TUPI(31/05/2016),,20,,FPCSQ
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE PARATY,4199.105450000001,93826.14486778526,120237.67832719523,,,,,GOLFINHO(15/11/2007),,21,,CVIX
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE SANTOS,,,,,,,,"ABALONE(12/07/2009), OSTRA(26/01/2011), ARGONAUTA(26/01/2011)",,22,,FPSO ESP SANTO
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE SÃO PAULO,2842.3444200000004,60545.22553685761,78423.0034697736,,,,,FRADE(07/06/2009),,23,,FPSO FRADE
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE SAQUAREMA,5849.63234,105904.9536795426,142697.9711716746,,,,,MERO(13/05/2021),,24,,FPGNB
2025-08-11T17:12:37.429Z,2025-08-05,FPSO CIDADE DE VITÓRIA,76.26404,7426.030086836208,7905.715645628208,,,,,MERO(28/07/2024),,25,,FPMDC
2025-08-11T17:12:37.429Z,2025-08-05,FPSO ESPIRITO SANTO,431.7699999999999,27765.756018000004,30481.502964000007,,,,,JUBARTE(13/01/2025),,26,,FPMQT
2025-08-11T17:12:37.429Z,2025-08-05,FPSO FRADE,330.24300000000005,33550.89454397999,35628.05696537999,,,,,MERO(31/07/2017),,27,,FPSOPL
2025-08-11T17:12:37.429Z,2025-08-05,FPSO GUANABARA,10228.61747,156219.5141512395,220555.47231404547,,,,,MERO(11/04/2023),,28,,FPSTB
2025-08-11T17:12:37.429Z,2025-08-05,FPSO Marechal  Duque de Caxias,11615.898149999999,179892.6927757439,252954.368959614,,,,,TUBARÃO MARTELO(03/11/2013),,29,,OSX3
2025-08-11T17:12:37.429Z,2025-08-05,FPSO MARIA QUITERIA,1048.442911768801,29749.244262412394,36343.7404888558,,,,,PEREGRINO(22/03/2011),,30,,PEREGRINO A
2025-08-11T17:12:37.429Z,2025-08-05,FPSO PIONEIRO DE LIBRA,3179.33987,47560.1212125468,67557.53312687279,,,,,"PEREGRINO(01/10/2021), PITANGOLA(01/10/2021)",,31,,PEREGRINO B
2025-08-11T17:12:37.429Z,2025-08-05,FPSO SEPETIBA,9304.921600000001,141029.00897530033,199555.10485498034,,,,,PEROÁ(27/01/2011),,32,,WHP-C
2025-08-11T17:12:37.429Z,2025-08-05,FPSO_OSX3,7452.7279977176595,,7596.460492455674,,,,,MARIMBÁ(21/06/1993),,33,,PPER
2025-08-11T17:12:37.429Z,2025-08-05,Peregrino A,51627.14197885889,,51977.59053342384,,,,,ALBACORA(27/09/1996),,34,,P-08
2025-08-11T17:12:37.429Z,2025-08-05,Peregrino B,5185.777851095307,,5205.102853151538,,,,,ALBACORA(17/08/1998),,35,,P-25
2025-08-11T17:12:37.429Z,2025-08-05,PEREGRINO C,102.02655182816693,40775.38069445532,41417.10730014413,,,,,MARLIM SUL(16/12/2001),,36,,P-31
2025-08-11T17:12:37.429Z,2025-08-05,PEROA,2.248,,14.1394704,,,,,BARRACUDA(21/12/2004),,37,,P-40
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 08,4480.5388072672495,,4935.07013500125,,,,,"CARATINGA(28/02/2005), BARRACUDA(01/01/2005)",,38,,P-43
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 25,,,,,,,,ALBACORA LESTE(21/04/2006),,39,,P-48
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 31,,,,,,,,MARLIM SUL(24/01/2009),,40,,P-50
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 40,701.92371,36692.62152047273,41107.58127163073,,,,,RONCADOR(23/11/2007),,41,,P-51
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 43,324.94799,24050.860818929996,26094.718686431996,,,,,MARLIM LESTE(30/11/2008),,42,,P-52
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 48,404.44239,23751.348908364,26295.210652986,,,,,RONCADOR(12/12/2007),,43,,P-53
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 50,1252.9974900000002,32532.883620996003,40413.98723359801,,,,,RONCADOR(01/01/2014),,44,,P-54
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 51,190.07967999999994,12771.559450935782,13967.12262219978,,,,,MARLIM SUL(01/08/2011),,45,,P-55
2025-08-11T17:12:37.429Z,2025-08-05,PETROBRAS 52,,,,,,,,JUBARTE(15/12/2010),,46,,P-56
