scrape_datetime,date,installation,oil_production,gas_production,oil_equivalents_boe,operator,type,estado,city,atendimento_campo,campo,quantity,code,status
2025-08-14T17:48:38.826Z,,,39031157.20589415,1855057.4556600004,50699097.59050446,,,,,,,3242,,
2025-08-14T17:48:38.826Z,2025-08-10,,1754784000000,32635.75887633117,37576.863419832676,,,,,,,785.5741905150423,,
2025-08-14T17:48:38.826Z,2025-08-10,Estação Coletora de Gavião Real,,,,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Santo Antônio dos Lopes,"MERO(27/07/2025), AnC_MERO(27/07/2025)",,,,
2025-08-14T17:48:38.826Z,2025-08-10,Estação Coletora de Pilar,,,,Origem Alagoas,Estação / Ponto de Coleta de Petróleo,AL,Pilar,BÚZIOS(13/01/2023),,,,
2025-08-14T17:48:38.826Z,2025-08-10,Estação de Produção e Escoamento de Gavião Branco,,,,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Lima Campos,"BÚZIOS(01/07/2024), TAMBUATÁ(31/12/2024), BÚZIOS_ECO(31/12/2024)",,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,FPSO ALEXANDRE DE GUSMÃO,44287.69911643827,2907.0558999999994,62572.49931625826,Petrobras,FPSO,MA,Santo Antônio dos Lopes,"MERO(27/07/2025), AnC_MERO(27/07/2025)",,,P-63,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,Peregrino A,51939.27867536702,55.95565612803865,52291.22856128116,Equinor Brasil,FIXA,,,,,,,
2025-08-14T17:48:38.826Z,2025-08-10,,,,,,,,,,,,,
